124169.jpg	ungewohntes-schneetreiben-am-vormittag-liess-viele-vorsichtig-fahren--auf-dem-europaring-floss-der-verkehr-aber-gut-.jpg	Der Schnee war eher schön als schlimm	The snow was rather beautiful as bad	 
124170.jpg	paula-grether--links--erzaehlt-ihrer-freundin-mia-mettke--wie-sie-das-bild-bearbeitet-hat-.jpg	Die Stadt völlig neu entdeckt	The city completely rediscovered	 
124171.jpg	arabella-steinbacher.jpg	Ein Himmel voller Geigen	A sky full of violins	 
124173.jpg	urn-newsml-dpa-com-20090101-190131-99-804836-large-4-3.jpg	Vorstandschef Rummenigge: Beckenbauer „thront über allen”	Board Chief Rummenigge: Beckenbauer "Thront over all"	Rummenigge,Beckenbauer
124175.jpg	urn-newsml-dpa-com-20090101-190131-99-805562-large-4-3.jpg	EU-Staaten starten Freihandelsabkommen mit Japan	EU states start free trade agreements with Japan	 
124176.jpg	bahnuebergang-in-suelz-unglueck.jpg	KVB warnte Stadt vor Gefahr durch Ampelschaltung	KVB warned city from danger by traffic lights	 
124177.jpg	jens-spahn-1.jpg	Spahn: Krebs ist in absehbarer Zeit besiegbar	Spahn: Cancer is defeated in the foreseeable future	Spahn
124178.jpg	71-143382174--null--31-01-2019-14-56-14-127-.jpg	Kiesabbau rückt näher an die Dörfer – Stadt ist wohl machtlos	Gravel dismantling is approaching the villages - city is probably powerless	 
124179.jpg	kreishaus-im-winter-310119.jpg	Politiker in Euskirchen machen ihrem Unmut Luft	Politicians in Euskirchen make their displeasure air	 
124180.jpg	frau-mit-geldscheinen.jpg	Acht Trendberufe	Eight trend professions that have a secure future	 
124181.jpg	ordnungsamt-bgl-1.jpg	Bergisch Gladbacher Ordnungsamt künftig bis 22 Uhr unterwegs	Bergisch Gladbacher Ordnungsamt in the future on the road until 22 o'clock	Bergisch Gladbacher,Ordnungsamt
124182.jpg	das-gericht-verurteilte-den-mann-zu-vier-jahren-haft--1-.jpg	Unternehmer aus Niederkassel muss lange ins Gefängnis	Entrepreneurs from Niederkassel has to go to prison for a long time	 
124183.jpg	arbeitsmarkt-60166409.jpg	542 Leverkusener meldeten sich im Januar arbeitslos	542 Leverkusener reported unemployed in January	 
124184.jpg	kubicki-groenert.jpg	„Wir sollten cooler mit der AfD umgehen und sie entzaubern“	"We should deal with the AFD and smells them"	 
124185.jpg	gletscher-antarktis.jpg	Forscher entdecken riesigen Hohlraum unter Antarktis-Gletscher	Researchers discover huge cavity under Antarctic Glacier	 
124186.jpg	urn-newsml-dpa-com-20090101-190131-99-804433-large-4-3.jpg	Schulministerin stellt Auswahl der „Talentschulen” vor	Minister of Storage presents selection of "Talent Schools"	 
124190.jpg	71-143345748--null--31-01-2019-17-59-16-087-.jpg	In Marienheide gibt es einen Neuanfang nach dem Protest	In Marienheide there is a new beginning after the protest	 
124191.jpg	urn-newsml-dpa-com-20090101-190201-99-808025-large-4-3.jpg	Grundsteuer-Durchbruch? Spitzentreffen bei Scholz	Property tax breakthrough?Top meeting at Scholz	Scholz
124192.jpg	wolfgang-schaeuble.jpg	Neue Abteilungsleiter in Bundestagsverwaltung sind wieder nur Westdeutsche	New department head in Bundestag administration are again only West Germans	 
124194.jpg	urn-newsml-dpa-com-20090101-190201-99-808068-large-4-3.jpg	Venezuelas Gegenpräsident Guaidó will nicht mehr verhandeln	Venezuela's president Guaidó does not want to negotiate	Guaidó
124195.jpg	urn-newsml-dpa-com-20090101-190201-99-808039-large-4-3.jpg	Drogenfund im Millionenwert unter Gurken gefunden	Drugfound found in the million value under cucumbers	 
124196.jpg	urn-newsml-dpa-com-20090101-190131-99-802946-large-4-3.jpg	Islamistische Syrien-Rückkehrer verurteilt	Islamist Syria returnees condemned	 
124197.jpg	das-friedenskreuz-in-birk-ist-marode.jpg	Das Friedenskreuz ist marode – kommt ein Neubau?	The Peace Cross is ailing - comes a new building?	 
124198.jpg	lebowski-1.jpg	Dude und „Sex and the City“-Star machen Bierwerbung	Dude and "Sex and the City" star make beer advertising	 
124199.jpg	07-dreigestirn-fotoshooting-5481.jpg	So bereitet sich das Bergisch Gladbacher Dreigestirn vor	So the Bergisch Gladbacher prepares three-star	 
124202.jpg	schule-am-keltenring-310119.jpg	Euskirchen will früheren Schulkomplex am Keltenring verkaufen	Euskirchen wants to sell former school complex at the Celtenring	 
124203.jpg	pulheimer-rathauskreuzung-210119.jpg	Umbau der Pulheimer Rathauskreuzung geht Anfang Februar los	Reconstruction of the Pulheim Town Hall Cross starts at the beginning of February	 
124204.jpg	109743685.jpg	Landesregierung sieht Fahrverbote in weiter Ferne	Provincial government sees driving bans in far away	 
124207.jpg	regierungsflieger.jpg	Bundeswehr will offenbar neue Regierungsflugzeuge bestellen	Bundeswehr wants to order new government aircraft	 
124208.jpg	71-143401936--null--31-01-2019-18-11-58-617-.jpg	Kölner Schüler demonstrieren auf dem Alter Markt für das Klima	Cologne students demonstrate on the old market for the climate	 
124209.jpg	urn-newsml-dpa-com-20090101-190201-99-808593-large-4-3.jpg	Deutscher Bank gelingt erster Jahresgewinn seit 2014	German bank succeeds first year win since 2014	 
124210.jpg	urn-newsml-dpa-com-20090101-190201-99-807600-large-4-3.jpg	Aachener Domkapitel zeigt Alltagskleid für Marienskulptur	Aachen cathedral chapter shows everyday dress for march sculpture	 
124212.jpg	tokio-hotel.jpg	Tokio Hotel feiern Jubiläum mit einem Konzert in Köln	Tokyo Hotel celebrate anniversary with a concert in Cologne	 
124213.jpg	archivar-sievert.jpg	Mit QR-Codes auf Spaziergang durch die Stadtgeschichte	With QR codes for walk through the city's history	 
124214.jpg	adam-levine.jpg	Levine verteidigt umstrittenen Super-Bowl-Auftritt	Levine defends controversial Super Bowl appearance	Levine
124215.jpg	burscheid-leverkusen-unfall-nef-alf-1163.jpg	Schüler zwischen Auto und Straßenlaterne eingeklemmt	Student clamped between car and street lamp	 
124216.jpg	71-143394671--null--31-01-2019-19-31-33-445-.jpg	Frauen spielen in Elferräten weiterhin nur Nebenrollen	Women continue to play only minor roles in elferräten	 
124219.jpg	urn-newsml-dpa-com-20090101-190201-99-809189-large-4-3.jpg	Kontroverse um Maroon 5 beim Super Bowl	Controversy around Maroon 5 at Super Bowl	 
124221.jpg	urn-newsml-dpa-com-20090101-190201-99-809358-large-4-3.jpg	Johnny Flynn wird in „Stardust” zu David Bowie	Johnny Flynn is in "Stardust" to David Bowie	Johnny Flynn,David Bowie
124224.jpg	71-143399093--null--31-01-2019-18-40-00-947-.jpg	Express-Bus von Weiden zum Aachener Weiher fährt Umwege	Express bus from pastures to Aachen Weiher drives detours	 
124225.jpg	71-143392092--null--31-01-2019-17-32-10-653-.jpg	Robin Ohl stellt sich dem RTL-Hüpfparcours „Big Bounce“	Robin Ohl introduces itself to the RTL bouncy portion "Big Bounce"	Robin Ohl
124228.jpg	lingen.jpg	Weltkriegsbombe in Lingen gesprengt – Explosion richtet Schaden an	World War II bomb in Lingen - explosion aligns damage	 
124230.jpg	volkswagen-231218.jpg	Hunderttausende Dieselfahrer schließen sich Sammelklage gegen VW an	Hundreds of thousands of diesel drivers join a collection claim against VW	 
124231.jpg	urn-newsml-dpa-com-20090101-190131-99-794361-large-4-3.jpg	Viele Städte überschreiten Stickoxid-Grenzwert auch 2018	Many cities exceed nitric oxide limit also in 2018	 
124232.jpg	urn-newsml-dpa-com-20090101-190201-99-810088-large-4-3.jpg	Klirrender Frost in den USA hält an	Clinking frost in the US is holding	 
124233.jpg	urn-newsml-dpa-com-20090101-190131-99-792636-large-4-3.jpg	Räumung im Hambacher Forst? - Appell des Polizeipräsidenten	Clearance in Hambacher Forst?- Appeal of the police president	Hambacher Forst
124234.jpg	der-bahnhof-au.jpg	Aufzüge am Bahnhof Au sind wieder in Betrieb	Lifts at the train station AU are back in operation	 
124235.jpg	leopard-greif-mann-an.jpg	Verirrter Leopard verletzt mehrere Menschen in Großstadt	Bagged Leopard violates several people in big city	 
